name,price
Smart Bars Crunchy," 14,90"
Clean Protein bars," 16,90"
Perfection Bars Crunchy," 16,90"
Whip 'N Whey Bars," 18,90"
Smart Bars," 12,90"
Low Calorie Bars," 12,50"
Pro Bar," 12,90"
Protein Bites Crunchy," 7,90"
Perfection Bars," 14,90"
Protein & Oats Bars," 15,90"
Surprise Protein Bar Box," 16,90"
Crunchy Eiwitwafels," 14,90"
Smart Bars Crunchy en Smart Protein Drinks voordeel,"
                                 20,80                            
                                 19,90                            "
Smart Bars voordeel,"
                                 25,80                            
                                 23,50                            "
Smart Protein & Smart Bars voordeel,"
                                 27,80                            
                                 24,90                            "
Protein Bites," 5,90"
Smart Crunchy Wafels," 12,50"
Smart Cookie Bars," 9,90"
Whey Better Bars," 9,90"
Recovery Bar," 2,75"
Smart Cake Bars," 4,90"
